iter	Passed	Remaining
0	0	331
1	1	265
2	1	232
3	1	243
4	2	252
5	2	243
6	3	240
7	3	241
8	4	246
9	5	248
10	5	244
11	6	248
12	6	241
13	6	237
14	7	239
15	7	240
16	8	237
17	8	235
18	9	232
19	9	234
20	10	235
21	10	236
22	11	237
23	12	238
24	12	238
25	12	236
26	13	233
27	13	232
28	14	232
29	14	233
30	15	233
31	16	234
32	16	234
33	17	234
34	17	235
35	18	235
36	18	233
37	19	233
38	19	234
39	20	234
40	20	234
41	21	234
42	21	231
43	22	231
44	22	231
45	23	231
46	23	230
47	24	230
48	25	230
49	25	230
50	26	230
51	26	227
52	27	227
53	27	227
54	28	227
55	28	225
56	28	223
57	29	223
58	30	224
59	30	224
60	31	223
61	31	223
62	32	223
63	32	223
64	33	223
65	33	223
66	34	223
67	35	222
68	35	222
69	36	222
70	36	222
71	37	221
72	37	221
73	38	221
74	39	221
75	39	221
76	40	220
77	40	220
78	41	219
79	41	219
80	42	218
81	42	218
82	43	217
83	43	217
84	44	216
85	45	216
86	45	216
87	45	214
88	46	213
89	46	213
90	47	212
91	47	211
92	48	211
93	48	210
94	49	210
95	49	210
96	50	209
97	51	209
98	51	208
99	51	207
100	52	207
101	53	207
102	53	206
103	54	206
104	54	205
105	55	205
106	55	205
107	56	203
108	56	203
109	57	202
110	57	201
111	58	201
112	58	200
113	59	200
114	59	199
115	60	199
116	60	198
117	61	197
118	61	197
119	62	196
120	62	196
121	62	195
122	63	193
123	63	193
124	64	192
125	64	192
126	65	192
127	65	191
128	66	191
129	67	190
130	67	190
131	68	190
132	68	189
133	69	189
134	69	188
135	70	188
136	70	187
137	71	187
138	71	186
139	72	186
140	73	185
141	73	185
142	74	184
143	74	184
144	75	184
145	75	183
146	76	183
147	76	182
148	77	182
149	77	181
150	78	181
151	78	180
152	79	180
153	80	179
154	80	179
155	81	178
156	81	178
157	82	177
158	82	177
159	83	177
160	83	176
161	84	176
162	84	175
163	85	175
164	85	174
165	86	173
166	87	173
167	87	173
168	88	172
169	88	172
170	89	171
171	89	171
172	90	171
173	91	170
174	91	170
175	92	169
176	92	169
177	93	169
178	94	168
179	94	168
180	95	167
181	95	166
182	96	166
183	96	165
184	97	165
185	97	165
186	98	164
187	99	164
188	99	163
189	100	163
190	100	162
191	101	162
192	101	162
193	102	161
194	103	161
195	103	160
196	104	160
197	104	159
198	105	159
199	105	158
200	106	158
201	107	158
202	107	157
203	108	157
204	108	156
205	109	156
206	110	155
207	110	155
208	111	154
209	111	154
210	112	153
211	112	153
212	113	152
213	114	152
214	114	151
215	115	151
216	115	150
217	116	150
218	116	150
219	117	149
220	118	149
221	118	148
222	119	148
223	119	147
224	120	147
225	121	146
226	121	146
227	122	145
228	122	145
229	123	144
230	123	144
231	124	143
232	125	143
233	125	142
234	126	142
235	126	141
236	127	141
237	127	140
238	128	140
239	129	139
240	129	139
241	130	138
242	130	138
243	131	137
244	132	137
245	132	136
246	133	136
247	133	135
248	134	135
249	135	135
250	135	134
251	136	134
252	136	133
253	137	133
254	138	132
255	138	132
256	139	131
257	139	131
258	140	130
259	140	130
260	141	129
261	142	129
262	142	128
263	143	128
264	143	127
265	144	127
266	145	126
267	145	126
268	146	125
269	146	124
270	147	124
271	147	123
272	148	123
273	149	122
274	149	122
275	150	121
276	150	121
277	151	120
278	151	120
279	152	119
280	153	119
281	153	118
282	154	118
283	154	117
284	155	117
285	155	116
286	156	116
287	157	115
288	157	115
289	158	114
290	158	114
291	159	113
292	160	113
293	160	112
294	161	111
295	161	111
296	162	110
297	162	110
298	163	109
299	164	109
300	164	108
301	165	108
302	165	107
303	166	107
304	166	106
305	167	106
306	167	105
307	168	105
308	169	104
309	169	103
310	170	103
311	170	102
312	171	102
313	171	101
314	172	101
315	172	100
316	173	100
317	174	99
318	174	99
319	175	98
320	175	98
321	176	97
322	176	96
323	177	96
324	178	95
325	178	95
326	179	94
327	179	94
328	180	93
329	181	93
330	181	92
331	182	92
332	182	91
333	183	91
334	183	90
335	184	90
336	185	89
337	185	88
338	186	88
339	186	87
340	187	87
341	187	86
342	188	86
343	189	85
344	189	85
345	190	84
346	190	84
347	191	83
348	191	83
349	192	82
350	193	81
351	193	81
352	194	80
353	194	80
354	195	79
355	196	79
356	196	78
357	197	78
358	197	77
359	198	77
360	198	76
361	199	75
362	199	75
363	200	74
364	201	74
365	201	73
366	202	73
367	202	72
368	203	72
369	203	71
370	204	71
371	205	70
372	205	70
373	206	69
374	206	68
375	207	68
376	207	67
377	208	67
378	208	66
379	209	66
380	210	65
381	210	65
382	211	64
383	211	63
384	212	63
385	212	62
386	213	62
387	214	61
388	214	61
389	215	60
390	215	60
391	216	59
392	216	59
393	217	58
394	217	57
395	218	57
396	219	56
397	219	56
398	220	55
399	220	55
400	221	54
401	221	54
402	222	53
403	223	53
404	223	52
405	224	51
406	224	51
407	225	50
408	226	50
409	226	49
410	227	49
411	227	48
412	228	48
413	228	47
414	229	47
415	230	46
416	230	45
417	231	45
418	231	44
419	232	44
420	232	43
421	233	43
422	234	42
423	234	42
424	235	41
425	235	40
426	236	40
427	236	39
428	237	39
429	238	38
430	238	38
431	239	37
432	239	37
433	240	36
434	240	35
435	241	35
436	241	34
437	242	34
438	242	33
439	243	33
440	244	32
441	244	32
442	245	31
443	245	30
444	246	30
445	246	29
446	247	29
447	247	28
448	248	28
449	249	27
450	249	27
451	250	26
452	250	26
453	251	25
454	251	24
455	252	24
456	253	23
457	253	23
458	254	22
459	254	22
460	255	21
461	256	21
462	256	20
463	257	19
464	257	19
465	258	18
466	258	18
467	259	17
468	259	17
469	260	16
470	261	16
471	261	15
472	262	14
473	262	14
474	263	13
475	263	13
476	264	12
477	264	12
478	265	11
479	266	11
480	266	10
481	267	9
482	267	9
483	268	8
484	268	8
485	269	7
486	269	7
487	270	6
488	271	6
489	271	5
490	272	4
491	272	4
492	273	3
493	273	3
494	274	2
495	274	2
496	275	1
497	275	1
498	276	0
499	277	0
